Cidade,UF,lat,lon,ibge_id
ACRELANDIA,AC,-9.82581,-66.8972,1200013
ASSIS BRASIL,AC,-10.9298,-69.5738,1200054
BRASILEIA,AC,-10.995,-68.7497,1200104
BUJARI,AC,-9.81528,-67.955,1200138
CAPIXABA,AC,-10.566,-67.686,1200179
CRUZEIRO DO SUL,AC,-7.62762,-72.6756,1200203
EPITACIOLANDIA,AC,-11.0188,-68.7341,1200252
FEIJO,AC,-8.17054,-70.351,1200302
JORDAO,AC,-9.1908,-71.9503,1200328
MANCIO LIMA,AC,-7.61657,-72.8997,1200336
MANOEL URBANO,AC,-8.83291,-69.2679,1200344
MARECHAL THAUMATURGO,AC,-8.93898,-72.7997,1200351
PLACIDO DE CASTRO,AC,-10.2806,-67.1371,1200385
PORTO ACRE,AC,-9.58138,-67.5478,1200807
PORTO WALTER,AC,-8.26323,-72.7537,1200393
RIO BRANCO,AC,-9.97499,-67.8243,1200401
RODRIGUES ALVES,AC,-7.73864,-72.661,1200427
SANTA ROSA DO PURUS,AC,-9.44652,-70.4902,1200435
SENA MADUREIRA,AC,-9.06596,-68.6571,1200500
SENADOR GUIOMARD,AC,-10.1497,-67.7362,1200450
TARAUACA,AC,-8.15697,-70.7722,1200609
XAPURI,AC,-10.6516,-68.4969,1200708
AGUA BRANCA,AL,-9.262,-37.938,2700102
ANADIA,AL,-9.68489,-36.3078,2700201
ARAPIRACA,AL,-9.75487,-36.6615,2700300
ATALAIA,AL,-9.5119,-36.0086,2700409
BARRA DE SANTO ANTONIO,AL,-9.4023,-35.5101,2700508
BARRA DE SAO MIGUEL,AL,-9.83842,-35.9057,2700607
BATALHA,AL,-9.6742,-37.133,2700706
BELEM,AL,-9.57047,-36.4904,2700805
BELO MONTE,AL,-9.82272,-37.277,2700904
BOCA DA MATA,AL,-9.64308,-36.2125,2701001
BRANQUINHA,AL,-9.23342,-36.0162,2701100
CACIMBINHAS,AL,-9.40121,-36.9911,2701209
CAJUEIRO,AL,-9.3994,-36.1559,2701308
CAMPESTRE,AL,-8.84723,-35.5685,2701357
CAMPO ALEGRE,AL,-9.78451,-36.3525,2701407
CAMPO GRANDE,AL,-9.95542,-36.7926,2701506
CANAPI,AL,-9.11932,-37.5967,2701605
CAPELA,AL,-9.41504,-36.0826,2701704
CARNEIROS,AL,-9.48476,-37.3773,2701803
CHA PRETA,AL,-9.2556,-36.2983,2701902
COITE DO NOIA,AL,-9.63348,-36.5845,2702009
COLONIA LEOPOLDINA,AL,-8.91806,-35.7214,2702108
COQUEIRO SECO,AL,-9.63715,-35.7994,2702207
CORURIPE,AL,-10.1276,-36.1717,2702306
CRAIBAS,AL,-9.6178,-36.7697,2702355
DELMIRO GOUVEIA,AL,-9.38534,-37.9987,2702405
DOIS RIACHOS,AL,-9.38465,-37.0965,2702504
ESTRELA DE ALAGOAS,AL,-9.39089,-36.7644,2702553
